relation	entity1	entity2	arg1	arg2	path
rel_330	Ent[ent_130]	Ent[ent_372]	Randi Weingarten	United Federation of Teachers	appos|->appos->president->prep->of->pobj->|pobj
rel_330	Ent[ent_130]	Ent[ent_372]	Randi Weingarten	United Federation of Teachers	nsubj|<-nsubj<-president->prep->of->pobj->|pobj
rel_50	Ent[ent_130]	Ent[ent_372]	Randi Weingarten	United Federation of Teachers	appos|->appos->president->dep->|dep
rel_330	Ent[ent_130]	Ent[ent_372]	Randi Weingarten	United Federation of Teachers	rcmod|->rcmod->succeed->prep->as->pobj->president->prep->of->pobj->|pobj
rel_50	Ent[ent_130]	Ent[ent_372]	Randi Weingarten	United Federation of Teachers	rcmod|->rcmod->seek->dobj->presidency->prep->of->pobj->|pobj
rel_50	Ent[ent_130]	Ent[ent_372]	Randi Weingarten	United Federation of Teachers	rcmod|->rcmod->negotiator->prep->as->pobj->chairwoman->prep->of->pobj->|pobj
rel_50	Ent[ent_130]	Ent[ent_372]	Randi Weingarten	United Federation of Teachers	dobj|<-dobj<-invite->dobj->president->prep->of->pobj->|pobj
rel_50	Ent[ent_130]	Ent[ent_372]	Randi Weingarten	United Federation of Teachers	appos|<-appos<-speech<-pobj<-after<-prep<-complain->nsubj->president->prep->of->pobj->|pobj
rel_50	Ent[ent_130]	Ent[ent_372]	Randi Weingarten	United Federation of Teachers	appos|<-appos<-session->appos->president->prep->of->pobj->|pobj
rel_330	Ent[ent_130]	Ent[ent_372]	Randi Weingarten	United Federation of Teachers	appos|<-appos<-remark->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_371]	Ent[ent_132]	Kenneth E. Raske	Greater New York Hospital Association	appos|->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_371]	Ent[ent_132]	Kenneth E. Raske	Greater New York Hospital Association	nn|<-nn<-president->appos->|appos
rel_399	Ent[ent_371]	Ent[ent_132]	Kenneth E. Raske	Greater New York Hospital Association	appos|->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_371]	Ent[ent_132]	Kenneth E. Raske	Greater New York Hospital Association	appos|->appos->head->prep->of->pobj->|pobj
rel_399	Ent[ent_371]	Ent[ent_132]	Kenneth E. Raske	Greater New York Hospital Association	appos|<-appos<-ally->appos->president->prep->of->pobj->|pobj
rel_330	Ent[ent_374]	Ent[ent_372]	Sandra Feldman	United Federation of Teachers	appos|->appos->president->prep->of->pobj->|pobj
rel_330	Ent[ent_374]	Ent[ent_372]	Sandra Feldman	United Federation of Teachers	appos|->appos->head->prep->of->pobj->|pobj
rel_330	Ent[ent_374]	Ent[ent_372]	Sandra Feldman	United Federation of Teachers	appos|<-appos<-shooting->appos->president->prep->of->pobj->|pobj
rel_330	Ent[ent_374]	Ent[ent_372]	Sandra Feldman	United Federation of Teachers	appos|->appos->leader->prep->of->pobj->|pobj
rel_330	Ent[ent_374]	Ent[ent_372]	Sandra Feldman	United Federation of Teachers	pobj|<-pobj<-to->dep->president->prep->of->pobj->|pobj
rel_330	Ent[ent_374]	Ent[ent_372]	Sandra Feldman	United Federation of Teachers	pobj|<-pobj<-to<-dep<-from<-prep<-official->appos->president->prep->of->pobj->|pobj
rel_330	Ent[ent_374]	Ent[ent_372]	Sandra Feldman	United Federation of Teachers	pobj|<-pobj<-to<-dep<-accord<-prep<-president->prep->of->pobj->|pobj
rel_330	Ent[ent_374]	Ent[ent_372]	Sandra Feldman	United Federation of Teachers	pobj|<-pobj<-like<-prep<-people<-pobj<-of<-prep<-support->appos->president->prep->of->pobj->|pobj
rel_330	Ent[ent_374]	Ent[ent_372]	Sandra Feldman	United Federation of Teachers	pobj|<-pobj<-for<-prep<-call<-partmod<-guards->appos->president->prep->of->pobj->|pobj
rel_330	Ent[ent_374]	Ent[ent_372]	Sandra Feldman	United Federation of Teachers	nsubjpass|<-nsubjpass<-elect->prep->as->pobj->president->prep->of->pobj->|pobj
rel_330	Ent[ent_131]	Ent[ent_373]	Gerry Adams	Sinn Fein	appos|->appos->president->prep->of->pobj->|pobj
rel_330	Ent[ent_131]	Ent[ent_373]	Gerry Adams	Sinn Fein	appos|->appos->leader->prep->of->pobj->|pobj
rel_330	Ent[ent_131]	Ent[ent_373]	Gerry Adams	Sinn Fein	appos|->appos->president->nn->|nn
rel_330	Ent[ent_131]	Ent[ent_373]	Gerry Adams	Sinn Fein	appos|->appos->head->prep->of->pobj->|pobj
rel_330	Ent[ent_131]	Ent[ent_373]	Gerry Adams	Sinn Fein	appos|->appos->leader->nn->|nn
rel_330	Ent[ent_131]	Ent[ent_373]	Gerry Adams	Sinn Fein	appos|->appos->president->poss->|poss
rel_27	Ent[ent_131]	Ent[ent_373]	Gerry Adams	Sinn Fein	appos|->appos->president->prep->of->pobj->arm->appos->|appos
rel_330	Ent[ent_131]	Ent[ent_373]	Gerry Adams	Sinn Fein	appos|->appos->leader->prep->of->pobj->wing->nn->|nn
rel_330	Ent[ent_131]	Ent[ent_373]	Gerry Adams	Sinn Fein	appos|->appos->leader->poss->|poss
rel_330	Ent[ent_131]	Ent[ent_373]	Gerry Adams	Sinn Fein	rcmod|->rcmod->recognize->prep->as->pobj->head->prep->of->pobj->|pobj
rel_399	Ent[ent_134]	Ent[ent_376]	Raymond D. Horton	Citizens Budget Commission	appos|->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_134]	Ent[ent_376]	Raymond D. Horton	Citizens Budget Commission	nn|<-nn<-president->appos->|appos
rel_399	Ent[ent_134]	Ent[ent_376]	Raymond D. Horton	Citizens Budget Commission	appos|->appos->professor->rcmod->president->prep->of->pobj->|pobj
rel_399	Ent[ent_134]	Ent[ent_376]	Raymond D. Horton	Citizens Budget Commission	appos|->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_134]	Ent[ent_376]	Raymond D. Horton	Citizens Budget Commission	rcmod|->rcmod->head->dobj->|dobj
rel_399	Ent[ent_134]	Ent[ent_376]	Raymond D. Horton	Citizens Budget Commission	pobj|<-pobj<-of<-prep<-departure->prep->from->pobj->helm->prep->of->pobj->|pobj
rel_399	Ent[ent_134]	Ent[ent_376]	Raymond D. Horton	Citizens Budget Commission	appos|->appos->professor->prep->for->pobj->|pobj
rel_399	Ent[ent_134]	Ent[ent_376]	Raymond D. Horton	Citizens Budget Commission	appos|->appos->head->prep->of->pobj->|pobj
rel_399	Ent[ent_134]	Ent[ent_376]	Raymond D. Horton	Citizens Budget Commission	appos|->appos->director->prep->of->pobj->research->prep->of->pobj->|pobj
rel_399	Ent[ent_134]	Ent[ent_376]	Raymond D. Horton	Citizens Budget Commission	appos|->appos->chairman->prep->of->pobj->|pobj
rel_330	Ent[ent_133]	Ent[ent_375]	Dick Ebersol	NBC Sports	appos|->appos->president->prep->of->pobj->|pobj
rel_294	Ent[ent_587]	Ent[ent_375]	Dick Ebersol	NBC Sports	appos|->appos->chairman->prep->of->pobj->|pobj
rel_330	Ent[ent_133]	Ent[ent_375]	Dick Ebersol	NBC Sports	appos|->appos->president->nn->|nn
rel_330	Ent[ent_133]	Ent[ent_375]	Dick Ebersol	NBC Sports	pobj|<-pobj<-of<-prep<-saturday<-dep<-appointment->appos->president->prep->of->pobj->|pobj
